code	checkpoint_code	symbol
0	12	CVCL_0023
1	14	CVCL_0028
2	25	CVCL_0069
3	28	CVCL_0099
4	29	CVCL_0131
5	32	CVCL_0152
6	34	CVCL_0179
7	35	CVCL_0218
8	37	CVCL_0292
9	38	CVCL_0293
10	39	CVCL_0320
11	40	CVCL_0332
12	41	CVCL_0334
13	43	CVCL_0359
14	44	CVCL_0366
15	45	CVCL_0371
16	47	CVCL_0397
17	48	CVCL_0399
18	49	CVCL_0428
19	50	CVCL_0459
20	51	CVCL_0480
21	52	CVCL_0504
22	54	CVCL_0546
23	60	CVCL_1055
24	61	CVCL_1056
25	62	CVCL_1094
26	63	CVCL_1097
27	64	CVCL_1098
28	65	CVCL_1119
29	66	CVCL_1125
30	70	CVCL_1239
31	71	CVCL_1285
32	72	CVCL_1381
33	73	CVCL_1478
34	75	CVCL_1495
35	77	CVCL_1517
36	79	CVCL_1547
37	80	CVCL_1550
38	83	CVCL_1577
39	85	CVCL_1635
40	87	CVCL_1666
41	88	CVCL_1693
42	90	CVCL_1715
43	91	CVCL_1716
44	92	CVCL_1717
45	93	CVCL_1724
46	94	CVCL_1731
47	118	CVCL_C466
