dataset_slug	dataset	source_seed	source_config_id	best_epoch	val_rmse	selection_metric	checkpoint_path	morgan_variant
cigs_mce	CIGS MCE	13	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	41	0.61570364	Validation RMSE dataset/CIGS MCE	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_13/checkpoints/epoch-epoch=0041.ckpt	morgan_fixed
cigs_tcm	CIGS TCM	13	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	88	0.40055755	Validation RMSE dataset/CIGS TCM	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_13/checkpoints/epoch-epoch=0088.ckpt	morgan_fixed
dilimap_train	dilimap_train	13	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	48	0.71032870	Validation RMSE	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_13/checkpoints/epoch-epoch=0048.ckpt	morgan_fixed
gdpx2	Ginkgo GDPx2	13	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	130	0.57328761	Validation RMSE dataset/Ginkgo GDPx2	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_13/checkpoints/epoch-epoch=0130.ckpt	morgan_fixed
lincs_phase1	LINCS_phase1_level3_epsilon	13	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	184	0.62497431	Validation RMSE dataset/LINCS_phase1_level3_epsilon	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_13/checkpoints/epoch-epoch=0184.ckpt	morgan_fixed
lincs_phase2	LINCS_phase2_level3	13	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	60	0.49785635	Validation RMSE dataset/LINCS_phase2_level3	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_13/checkpoints/epoch-epoch=0060.ckpt	morgan_fixed
novartis	Novartis MoABox DRUG-seq	13	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	4	0.68987429	Validation RMSE dataset/Novartis MoABox DRUG-seq	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_13/checkpoints/epoch-epoch=0004.ckpt	morgan_fixed
op3	op3	13	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	88	0.47584915	Validation RMSE dataset/op3	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_13/checkpoints/epoch-epoch=0088.ckpt	morgan_fixed
sciplex	srivatsan20_sciplex3	13	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	114	0.62281352	Validation RMSE dataset/srivatsan20_sciplex3	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_13/checkpoints/epoch-epoch=0114.ckpt	morgan_fixed
tahoe100	tahoe100	13	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	48	0.73502445	Validation RMSE dataset/tahoe100	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_13/checkpoints/epoch-epoch=0048.ckpt	morgan_fixed
vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	13	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	159	0.55370831	Validation RMSE dataset/Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_13/checkpoints/epoch-epoch=0159.ckpt	morgan_fixed
vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	13	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	48	0.71032870	Validation RMSE	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_13/checkpoints/epoch-epoch=0048.ckpt	morgan_fixed
cigs_mce	CIGS MCE	17	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	18	0.61624902	Validation RMSE dataset/CIGS MCE	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_17/checkpoints/epoch-epoch=0018.ckpt	morgan_fixed
cigs_tcm	CIGS TCM	17	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	40	0.40042529	Validation RMSE dataset/CIGS TCM	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_17/checkpoints/epoch-epoch=0040.ckpt	morgan_fixed
dilimap_train	dilimap_train	17	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	14	0.71061683	Validation RMSE	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_17/checkpoints/epoch-epoch=0014.ckpt	morgan_fixed
gdpx2	Ginkgo GDPx2	17	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	33	0.57728827	Validation RMSE dataset/Ginkgo GDPx2	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_e0553ae76d7decce/seed_17/checkpoints/epoch-epoch=0033.ckpt	morgan_fixed
