model_family	seed	dataset_slug	dataset	config_id	gpus	source_count	morgan_variant	pretrained_perturbation_embeddings_path	freeze_pretrained_perturbation_embeddings	job_id
scratch_target_only_morgan_fixed	19	sciplex	srivatsan20_sciplex3	lpm_paper10_morgan_fixed_scratch_sciplex_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734115
scratch_target_only_morgan_fixed	19	tahoe100	tahoe100	lpm_paper10_morgan_fixed_scratch_tahoe100_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734116
scratch_target_only_morgan_fixed	19	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_morgan_fixed_scratch_vcpi_0001_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734117
scratch_target_only_morgan_fixed	19	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_morgan_fixed_scratch_vcpi_0002_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734118
all_datasets_morgan_fixed	23	all	all	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734119
scratch_target_only_morgan_fixed	23	cigs_mce	CIGS MCE	lpm_paper10_morgan_fixed_scratch_cigs_mce_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734120
scratch_target_only_morgan_fixed	23	cigs_tcm	CIGS TCM	lpm_paper10_morgan_fixed_scratch_cigs_tcm_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734121
scratch_target_only_morgan_fixed	23	dilimap_train	dilimap_train	lpm_paper10_morgan_fixed_scratch_dilimap_train_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734122
scratch_target_only_morgan_fixed	23	gdpx2	Ginkgo GDPx2	lpm_paper10_morgan_fixed_scratch_gdpx2_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734123
scratch_target_only_morgan_fixed	23	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_morgan_fixed_scratch_lincs_phase1_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734124
scratch_target_only_morgan_fixed	23	lincs_phase2	LINCS_phase2_level3	lpm_paper10_morgan_fixed_scratch_lincs_phase2_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734125
scratch_target_only_morgan_fixed	23	novartis	Novartis MoABox DRUG-seq	lpm_paper10_morgan_fixed_scratch_novartis_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734126
scratch_target_only_morgan_fixed	23	op3	op3	lpm_paper10_morgan_fixed_scratch_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734127
scratch_target_only_morgan_fixed	23	sciplex	srivatsan20_sciplex3	lpm_paper10_morgan_fixed_scratch_sciplex_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734128
scratch_target_only_morgan_fixed	23	tahoe100	tahoe100	lpm_paper10_morgan_fixed_scratch_tahoe100_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734129
scratch_target_only_morgan_fixed	23	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_morgan_fixed_scratch_vcpi_0001_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734130
scratch_target_only_morgan_fixed	23	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_morgan_fixed_scratch_vcpi_0002_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734131
all_datasets_morgan_fixed	29	all	all	lpm_paper10_morgan_fixed_all_data_plus_tahoe_novartis_op3_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734132
scratch_target_only_morgan_fixed	29	cigs_mce	CIGS MCE	lpm_paper10_morgan_fixed_scratch_cigs_mce_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	morgan_fixed	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	True	36734133
