model_family	seed	dataset_slug	dataset	config_id	gpus	source_count
all_datasets	13	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	167
scratch_target_only	13	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	13	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	13	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	13	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	13	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	70
scratch_target_only	13	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	30
scratch_target_only	13	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	13	op3	op3	lpm_paper10_scratch_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	13	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	3
scratch_target_only	13	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	48
scratch_target_only	13	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	13	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
all_datasets	17	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	167
scratch_target_only	17	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	17	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	17	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	17	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	17	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	70
scratch_target_only	17	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	30
scratch_target_only	17	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	17	op3	op3	lpm_paper10_scratch_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	17	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	3
scratch_target_only	17	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	48
scratch_target_only	17	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	17	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
all_datasets	19	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	167
scratch_target_only	19	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	19	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	2
scratch_target_only	19	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	19	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	19	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	70
scratch_target_only	19	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	30
scratch_target_only	19	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
scratch_target_only	19	op3	op3	lpm_paper10_scratch_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	4
scratch_target_only	19	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	3
scratch_target_only	19	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	48
scratch_target_only	19	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1
