dataset_slug	dataset	all_val_rmse_mean	all_val_rmse_std	all_val_n	all_test_rmse_mean	all_test_rmse_std	all_test_n	all_val_rmse_mean_std	all_test_rmse_mean_std	finetune_frozen_mol_val_rmse_mean	finetune_frozen_mol_val_rmse_std	finetune_frozen_mol_val_n	finetune_frozen_mol_test_rmse_mean	finetune_frozen_mol_test_rmse_std	finetune_frozen_mol_test_n	finetune_frozen_mol_val_rmse_mean_std	finetune_frozen_mol_test_rmse_mean_std	scratch_target_only_val_rmse_mean	scratch_target_only_val_rmse_std	scratch_target_only_val_n	scratch_target_only_test_rmse_mean	scratch_target_only_test_rmse_std	scratch_target_only_test_n	scratch_target_only_val_rmse_mean_std	scratch_target_only_test_rmse_mean_std	all_morgan_fixed_val_rmse_mean	all_morgan_fixed_val_rmse_std	all_morgan_fixed_val_n	all_morgan_fixed_test_rmse_mean	all_morgan_fixed_test_rmse_std	all_morgan_fixed_test_n	all_morgan_fixed_val_rmse_mean_std	all_morgan_fixed_test_rmse_mean_std	finetune_morgan_fixed_val_rmse_mean	finetune_morgan_fixed_val_rmse_std	finetune_morgan_fixed_val_n	finetune_morgan_fixed_test_rmse_mean	finetune_morgan_fixed_test_rmse_std	finetune_morgan_fixed_test_n	finetune_morgan_fixed_val_rmse_mean_std	finetune_morgan_fixed_test_rmse_mean_std	scratch_morgan_fixed_val_rmse_mean	scratch_morgan_fixed_val_rmse_std	scratch_morgan_fixed_val_n	scratch_morgan_fixed_test_rmse_mean	scratch_morgan_fixed_test_rmse_std	scratch_morgan_fixed_test_n	scratch_morgan_fixed_val_rmse_mean_std	scratch_morgan_fixed_test_rmse_mean_std	all_morgan_learned_val_rmse_mean	all_morgan_learned_val_rmse_std	all_morgan_learned_val_n	all_morgan_learned_test_rmse_mean	all_morgan_learned_test_rmse_std	all_morgan_learned_test_n	all_morgan_learned_val_rmse_mean_std	all_morgan_learned_test_rmse_mean_std	finetune_morgan_learned_fixmol_val_rmse_mean	finetune_morgan_learned_fixmol_val_rmse_std	finetune_morgan_learned_fixmol_val_n	finetune_morgan_learned_fixmol_test_rmse_mean	finetune_morgan_learned_fixmol_test_rmse_std	finetune_morgan_learned_fixmol_test_n	finetune_morgan_learned_fixmol_val_rmse_mean_std	finetune_morgan_learned_fixmol_test_rmse_mean_std
cigs_mce	CIGS MCE	0.57648748	0.00093949	10	0.57613481	0.00074780	10	0.5765 +/- 0.0009 (n=10)	0.5761 +/- 0.0007 (n=10)	0.58577989	0.00027261	10	0.57836000	0.00189573	10	0.5858 +/- 0.0003 (n=10)	0.5784 +/- 0.0019 (n=10)	0.58728748	0.00019898	10	0.57138000	0.00195266	10	0.5873 +/- 0.0002 (n=10)	0.5714 +/- 0.0020 (n=10)	0.57428320	0.00034929	10	0.57313258	0.00027346	10	0.5743 +/- 0.0003 (n=10)	0.5731 +/- 0.0003 (n=10)	0.58461196	0.00010356	10	0.58667000	0.00658298	10	0.5846 +/- 0.0001 (n=10)	0.5867 +/- 0.0066 (n=10)	0.58613445	0.00067979	10	0.57181000	0.00222483	10	0.5861 +/- 0.0007 (n=10)	0.5718 +/- 0.0022 (n=10)	0.57862596	0.00285704	10	0.58025264	0.00537434	10	0.5786 +/- 0.0029 (n=10)	0.5803 +/- 0.0054 (n=10)	0.57938797	0.00015911	10	0.57502000	0.00171387	10	0.5794 +/- 0.0002 (n=10)	0.5750 +/- 0.0017 (n=10)
cigs_tcm	CIGS TCM	0.42481707	0.00021212	10	0.40815102	0.00027537	10	0.4248 +/- 0.0002 (n=10)	0.4082 +/- 0.0003 (n=10)	0.44726451	0.00006322	10	0.40768000	0.00010328	10	0.4473 +/- 0.0001 (n=10)	0.4077 +/- 0.0001 (n=10)	0.44853301	0.00014295	10	0.40805000	0.00025495	10	0.4485 +/- 0.0001 (n=10)	0.4081 +/- 0.0003 (n=10)	0.42339636	0.00038797	10	0.40718603	0.00022643	10	0.4234 +/- 0.0004 (n=10)	0.4072 +/- 0.0002 (n=10)	0.44762641	0.00010738	10	0.40755000	0.00011785	10	0.4476 +/- 0.0001 (n=10)	0.4076 +/- 0.0001 (n=10)	0.44850352	0.00009708	10	0.40790000	0.00011547	10	0.4485 +/- 0.0001 (n=10)	0.4079 +/- 0.0001 (n=10)	0.42472572	0.00034290	10	0.40815028	0.00035454	10	0.4247 +/- 0.0003 (n=10)	0.4082 +/- 0.0004 (n=10)	0.44612734	0.00042097	10	0.40767000	0.00059076	10	0.4461 +/- 0.0004 (n=10)	0.4077 +/- 0.0006 (n=10)
dilimap_train	dilimap_train	0.62372839	0.03202052	10	0.66402451	0.03769479	10	0.6237 +/- 0.0320 (n=10)	0.6640 +/- 0.0377 (n=10)	0.58458353	0.00083198	10	0.60903000	0.00153482	10	0.5846 +/- 0.0008 (n=10)	0.6090 +/- 0.0015 (n=10)	0.58291655	0.00190779	10	0.60953000	0.00136386	10	0.5829 +/- 0.0019 (n=10)	0.6095 +/- 0.0014 (n=10)	0.62281082	0.01255776	10	0.66365517	0.01279250	10	0.6228 +/- 0.0126 (n=10)	0.6637 +/- 0.0128 (n=10)	0.58270874	0.00023669	10	0.60880000	0.00020548	10	0.5827 +/- 0.0002 (n=10)	0.6088 +/- 0.0002 (n=10)	0.58314480	0.00044702	10	0.60956000	0.00062397	10	0.5831 +/- 0.0004 (n=10)	0.6096 +/- 0.0006 (n=10)	0.63630401	0.02135309	10	0.68134027	0.02720916	10	0.6363 +/- 0.0214 (n=10)	0.6813 +/- 0.0272 (n=10)	0.58308946	0.00064943	10	0.60946000	0.00080443	10	0.5831 +/- 0.0006 (n=10)	0.6095 +/- 0.0008 (n=10)
gdpx2	Ginkgo GDPx2	0.57122023	0.00631860	10	0.43918326	0.00266660	10	0.5712 +/- 0.0063 (n=10)	0.4392 +/- 0.0027 (n=10)	0.55960648	0.00470635	10	0.44309000	0.00356945	10	0.5596 +/- 0.0047 (n=10)	0.4431 +/- 0.0036 (n=10)	0.57251511	0.00270243	10	0.43307000	0.00306306	10	0.5725 +/- 0.0027 (n=10)	0.4331 +/- 0.0031 (n=10)	0.57449591	0.00266638	10	0.43209287	0.00126134	10	0.5745 +/- 0.0027 (n=10)	0.4321 +/- 0.0013 (n=10)	0.56722812	0.00237282	10	0.43779000	0.00507553	10	0.5672 +/- 0.0024 (n=10)	0.4378 +/- 0.0051 (n=10)	0.56957506	0.00249884	10	0.43207000	0.00163371	10	0.5696 +/- 0.0025 (n=10)	0.4321 +/- 0.0016 (n=10)	0.57262080	0.00415874	10	0.43739524	0.00183538	10	0.5726 +/- 0.0042 (n=10)	0.4374 +/- 0.0018 (n=10)	0.55882922	0.00218265	10	0.43800000	0.00233952	10	0.5588 +/- 0.0022 (n=10)	0.4380 +/- 0.0023 (n=10)
lincs_phase1	LINCS_phase1_level3_epsilon	0.61566095	0.00101945	10	0.62836840	0.00101253	10	0.6157 +/- 0.0010 (n=10)	0.6284 +/- 0.0010 (n=10)	0.60660233	0.00060964	10	0.62306000	0.00030984	10	0.6066 +/- 0.0006 (n=10)	0.6231 +/- 0.0003 (n=10)	0.61918092	0.00081485	10	0.63260000	0.00138163	10	0.6192 +/- 0.0008 (n=10)	0.6326 +/- 0.0014 (n=10)	0.61598624	0.00290327	10	0.62662209	0.00066365	10	0.6160 +/- 0.0029 (n=10)	0.6266 +/- 0.0007 (n=10)	0.61182272	0.00234816	10	0.62466000	0.00118058	10	0.6118 +/- 0.0023 (n=10)	0.6247 +/- 0.0012 (n=10)	0.61341286	0.00075463	10	0.62661000	0.00105982	10	0.6134 +/- 0.0008 (n=10)	0.6266 +/- 0.0011 (n=10)	0.61616487	0.00060240	10	0.62710462	0.00097579	10	0.6162 +/- 0.0006 (n=10)	0.6271 +/- 0.0010 (n=10)	0.60735430	0.00097717	10	0.62145000	0.00113358	10	0.6074 +/- 0.0010 (n=10)	0.6214 +/- 0.0011 (n=10)
lincs_phase2	LINCS_phase2_level3	0.48321021	0.00099458	10	0.48494809	0.00142479	10	0.4832 +/- 0.0010 (n=10)	0.4849 +/- 0.0014 (n=10)	0.46493323	0.00030408	10	0.48303000	0.00060009	10	0.4649 +/- 0.0003 (n=10)	0.4830 +/- 0.0006 (n=10)	0.47255334	0.00034662	10	0.48857000	0.00037431	10	0.4726 +/- 0.0003 (n=10)	0.4886 +/- 0.0004 (n=10)	0.48683104	0.00055903	10	0.48606222	0.00099260	10	0.4868 +/- 0.0006 (n=10)	0.4861 +/- 0.0010 (n=10)	0.47033860	0.00033897	10	0.48594000	0.00062397	10	0.4703 +/- 0.0003 (n=10)	0.4859 +/- 0.0006 (n=10)	0.47111795	0.00025534	10	0.48606000	0.00041687	10	0.4711 +/- 0.0003 (n=10)	0.4861 +/- 0.0004 (n=10)	0.48195998	0.00072001	10	0.48338176	0.00081016	10	0.4820 +/- 0.0007 (n=10)	0.4834 +/- 0.0008 (n=10)	0.46348988	0.00021508	10	0.48137000	0.00043982	10	0.4635 +/- 0.0002 (n=10)	0.4814 +/- 0.0004 (n=10)
novartis	Novartis MoABox DRUG-seq	0.68983294	0.00033015	10	0.55571408	0.00040819	10	0.6898 +/- 0.0003 (n=10)	0.5557 +/- 0.0004 (n=10)	0.67428855	0.00095535	10	0.53939000	0.00059339	10	0.6743 +/- 0.0010 (n=10)	0.5394 +/- 0.0006 (n=10)	0.67812264	0.00065843	10	0.54082000	0.00056332	10	0.6781 +/- 0.0007 (n=10)	0.5408 +/- 0.0006 (n=10)	0.68958679	0.00020249	10	0.55527637	0.00029794	10	0.6896 +/- 0.0002 (n=10)	0.5553 +/- 0.0003 (n=10)	0.67609121	0.00012498	10	0.53792000	0.00014757	10	0.6761 +/- 0.0001 (n=10)	0.5379 +/- 0.0001 (n=10)	0.67733097	0.00058467	10	0.53952000	0.00079554	10	0.6773 +/- 0.0006 (n=10)	0.5395 +/- 0.0008 (n=10)	0.68954705	0.00018217	10	0.55528626	0.00025444	10	0.6895 +/- 0.0002 (n=10)	0.5553 +/- 0.0003 (n=10)	0.67502908	0.00044763	10	0.53713000	0.00063953	10	0.6750 +/- 0.0004 (n=10)	0.5371 +/- 0.0006 (n=10)
op3	op3	0.39996661	0.00143996	10	0.35716190	0.00092361	10	0.4000 +/- 0.0014 (n=10)	0.3572 +/- 0.0009 (n=10)	0.41900080	0.00132099	10	0.34813000	0.00191430	10	0.4190 +/- 0.0013 (n=10)	0.3481 +/- 0.0019 (n=10)	0.41577861	0.00336670	10	0.34781000	0.00106087	10	0.4158 +/- 0.0034 (n=10)	0.3478 +/- 0.0011 (n=10)	0.39792289	0.00404533	10	0.35454559	0.00332588	10	0.3979 +/- 0.0040 (n=10)	0.3545 +/- 0.0033 (n=10)	0.40773105	0.00704522	10	0.34128000	0.00543912	10	0.4077 +/- 0.0070 (n=10)	0.3413 +/- 0.0054 (n=10)	0.41438763	0.00051341	10	0.34689000	0.00076514	10	0.4144 +/- 0.0005 (n=10)	0.3469 +/- 0.0008 (n=10)	0.39901826	0.00246575	10	0.35639824	0.00158569	10	0.3990 +/- 0.0025 (n=10)	0.3564 +/- 0.0016 (n=10)	0.41293693	0.00194519	10	0.34305000	0.00133770	10	0.4129 +/- 0.0019 (n=10)	0.3431 +/- 0.0013 (n=10)
sciplex	srivatsan20_sciplex3	0.65692014	0.00145458	10	0.68411654	0.00270005	10	0.6569 +/- 0.0015 (n=10)	0.6841 +/- 0.0027 (n=10)	0.71180396	0.00124000	10	0.68956000	0.00147739	10	0.7118 +/- 0.0012 (n=10)	0.6896 +/- 0.0015 (n=10)	0.71560647	0.00115354	10	0.68454000	0.00056608	10	0.7156 +/- 0.0012 (n=10)	0.6845 +/- 0.0006 (n=10)	0.65720189	0.00085239	10	0.68194241	0.00058439	10	0.6572 +/- 0.0009 (n=10)	0.6819 +/- 0.0006 (n=10)	0.71432110	0.00039950	10	0.68613000	0.00111858	10	0.7143 +/- 0.0004 (n=10)	0.6861 +/- 0.0011 (n=10)	0.71450900	0.00119418	10	0.68403000	0.00077323	10	0.7145 +/- 0.0012 (n=10)	0.6840 +/- 0.0008 (n=10)	0.65649605	0.00228446	10	0.68368469	0.00217166	10	0.6565 +/- 0.0023 (n=10)	0.6837 +/- 0.0022 (n=10)	0.71354937	0.00113310	10	0.68991000	0.00280216	10	0.7135 +/- 0.0011 (n=10)	0.6899 +/- 0.0028 (n=10)
tahoe100	tahoe100	0.74685684	0.00123837	10	0.73827298	0.00255694	10	0.7469 +/- 0.0012 (n=10)	0.7383 +/- 0.0026 (n=10)	0.74455128	0.00086972	10	0.74306000	0.00119648	10	0.7446 +/- 0.0009 (n=10)	0.7431 +/- 0.0012 (n=10)	0.74470042	0.00023441	10	0.73803000	0.00039172	10	0.7447 +/- 0.0002 (n=10)	0.7380 +/- 0.0004 (n=10)	0.74062381	0.00096331	10	0.72878678	0.00101382	10	0.7406 +/- 0.0010 (n=10)	0.7288 +/- 0.0010 (n=10)	0.74285091	0.00043814	9	0.73486667	0.00043875	9	0.7429 +/- 0.0004 (n=9)	0.7349 +/- 0.0004 (n=9)	0.74189267	0.00038498	10	0.73354000	0.00154862	10	0.7419 +/- 0.0004 (n=10)	0.7335 +/- 0.0015 (n=10)	0.74120350	0.00119744	10	0.73191293	0.00132172	10	0.7412 +/- 0.0012 (n=10)	0.7319 +/- 0.0013 (n=10)	0.73758886	0.00058023	7	0.73527143	0.00142795	7	0.7376 +/- 0.0006 (n=7)	0.7353 +/- 0.0014 (n=7)
