model_family	seed	dataset_slug	dataset	config_id	gpus	source_count	job_id
scratch_target_only	23	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36730578
scratch_target_only	23	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730579
scratch_target_only	23	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36730580
scratch_target_only	23	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	36731154
scratch_target_only	23	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	36731192
scratch_target_only	23	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730583
scratch_target_only	23	op3	op3	lpm_paper10_scratch_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36731193
scratch_target_only	23	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	36731194
scratch_target_only	23	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	36731195
scratch_target_only	23	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730587
scratch_target_only	23	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730588
all_datasets	29	all	all	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	36730589
scratch_target_only	29	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36731196
scratch_target_only	29	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	36731197
scratch_target_only	29	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed29_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730592
scratch_target_only	29	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36731198
scratch_target_only	29	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	36731199
scratch_target_only	29	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	36731200
scratch_target_only	29	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed29_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	36730596
scratch_target_only	29	op3	op3	lpm_paper10_scratch_op3_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	36730597
scratch_target_only	29	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	36731201
scratch_target_only	29	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	36731202
