dataset_slug	dataset	source_seed	source_config_id	best_epoch	val_rmse	selection_metric	checkpoint_path
cigs_mce	CIGS MCE	19	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	23	0.61672026	Validation RMSE dataset/CIGS MCE	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_19/checkpoints/epoch-epoch=0023.ckpt
cigs_tcm	CIGS TCM	23	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	14	0.40066579	Validation RMSE dataset/CIGS TCM	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_23/checkpoints/epoch-epoch=0014.ckpt
dilimap_train	dilimap_train	47	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	15	0.71436918	Validation RMSE	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_47/checkpoints/epoch-epoch=0015.ckpt
gdpx2	Ginkgo GDPx2	17	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	82	0.55716372	Validation RMSE dataset/Ginkgo GDPx2	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_17/checkpoints/epoch-epoch=0082.ckpt
lincs_phase1	LINCS_phase1_level3_epsilon	41	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	25	0.61780924	Validation RMSE dataset/LINCS_phase1_level3_epsilon	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed41_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_41/checkpoints/epoch-epoch=0025.ckpt
lincs_phase2	LINCS_phase2_level3	47	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	110	0.49363664	Validation RMSE dataset/LINCS_phase2_level3	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_47/checkpoints/epoch-epoch=0110.ckpt
novartis	Novartis MoABox DRUG-seq	31	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	6	0.68930405	Validation RMSE dataset/Novartis MoABox DRUG-seq	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_31/checkpoints/epoch-epoch=0006.ckpt
op3	op3	19	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	88	0.47442308	Validation RMSE dataset/op3	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_19/checkpoints/epoch-epoch=0088.ckpt
sciplex	srivatsan20_sciplex3	47	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	99	0.62039107	Validation RMSE dataset/srivatsan20_sciplex3	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_47/checkpoints/epoch-epoch=0099.ckpt
tahoe100	tahoe100	47	lpm_paper10_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	15	0.74043685	Validation RMSE dataset/tahoe100	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_b347c04960ae595d/seed_47/checkpoints/epoch-epoch=0015.ckpt
