model_family	seed	dataset_slug	dataset	config_id	gpus	source_count	morgan_variant	pretrained_perturbation_embeddings_path	freeze_pretrained_perturbation_embeddings	job_id
all_datasets_morgan_learned	13	all	all	lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	morgan_learned	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	False	36734212
all_datasets_morgan_learned	17	all	all	lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	morgan_learned	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	False	36734213
all_datasets_morgan_learned	19	all	all	lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	morgan_learned	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	False	36734214
all_datasets_morgan_learned	23	all	all	lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	morgan_learned	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	False	36734215
all_datasets_morgan_learned	29	all	all	lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed29_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	morgan_learned	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	False	36734216
all_datasets_morgan_learned	31	all	all	lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	morgan_learned	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	False	36734217
all_datasets_morgan_learned	37	all	all	lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed37_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	morgan_learned	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	False	36734218
all_datasets_morgan_learned	41	all	all	lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed41_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	morgan_learned	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	False	36734219
all_datasets_morgan_learned	43	all	all	lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed43_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	morgan_learned	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	False	36734220
all_datasets_morgan_learned	47	all	all	lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre	2	167	morgan_learned	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/morgan_perturbation_embeddings/pubchem_morgan_radius2_nbits128/compound_embeddings.npy	False	36734221
