code	checkpoint_code	symbol
0	1	1000
1	3	10000860
2	4	100016
3	7	100026
4	8	10003218
5	10	10008367
6	11	100094
7	12	1000980
8	13	1001
9	16	10014835
10	17	100168
11	19	100205
12	21	10021885
13	26	100253
14	27	10026128
15	31	10029385
16	33	10031513
17	35	10032234
18	36	10033072
19	37	100334
20	38	10033623
21	39	10034073
22	42	10038868
23	43	10039361
24	46	10041070
25	48	100427
26	49	10044321
27	50	10048741
28	51	100492
29	55	10052040
30	56	100526
31	57	100528
32	58	10052896
33	59	10055215
34	65	100641
35	69	10066681
36	72	10069117
37	74	10070883
38	76	10071166
39	77	10071196
40	78	100714
41	79	10071840
42	81	10074640
43	85	10077130
44	86	10077147
45	87	10077207
46	94	10081842
47	97	10084135
48	101	10090485
49	103	10091424
50	104	10092649
51	105	100951623
52	107	10096344
53	109	10098
54	111	10099522
55	113	101
56	115	10101269
57	116	101043861
58	118	10106
59	119	101071473
60	122	10109178
61	123	10109823
62	124	10110536
63	125	10110895
64	126	10111431
65	127	10111831
66	128	1011240
67	130	101135270
68	131	101135271
69	132	101136468
70	133	10113978
71	134	10114
72	137	10117987
73	138	10120218
74	139	101207514
75	140	10123561
76	147	10127622
77	149	101300
78	150	101301
79	154	10130754
80	157	10133
81	159	1013376
82	163	101375811
83	166	10138260
84	167	10138980
85	172	1014
86	173	10140
87	177	10143
88	178	10146
89	182	10149311
90	184	1015
91	185	10150497
92	186	101507
93	187	10152529
94	189	10152654
95	191	10153079
96	192	10154
97	194	101571768
98	195	10157484
99	196	10158453
100	198	10158940
101	202	101601989
102	203	1016023
103	204	10160238
104	205	101612
105	206	10161380
106	207	101615
107	210	101619
108	212	10163
109	213	101644650
110	214	101656439
111	215	101672279
112	216	101679160
113	217	10168
114	219	101686456
115	223	10169886
116	224	1017
117	227	101712
118	228	10172275
119	229	10172943
120	230	10173277
121	231	10173280
122	234	10174012
123	235	101744
124	236	10174505
125	237	101746
126	243	10177
127	245	10177784
128	246	101788
129	247	101798
130	248	1018
131	250	101810
132	252	10184653
133	253	10184665
