code	checkpoint_code	symbol
0	0	ASC.C
1	2	CD34
2	12	CVCL_0023
3	13	CVCL_0027
4	15	CVCL_0030
5	16	CVCL_0031
6	17	CVCL_0033
7	18	CVCL_0035
8	21	CVCL_0062
9	23	CVCL_0065
10	30	CVCL_0132
11	33	CVCL_0178
12	39	CVCL_0320
13	40	CVCL_0332
14	46	CVCL_0395
15	57	CVCL_0598
16	96	CVCL_1794
17	107	CVCL_2959
18	109	CVCL_3383
19	115	CVCL_5136
20	117	CVCL_B161
21	119	CVCL_U602
22	121	CVCL_VU89
23	122	MNEU.E
24	124	NEU
25	127	NPC
26	128	NPC.CAS9
27	129	NPC.TAK
28	132	SKL
29	133	SKL.C
